idScenarios,idTechnologies,idzones,year,hour,supply,quantum,Col
1,91,0,2022,4319,1,3802.31,4
1,91,0,2022,4320,1,3914.48,4
1,91,0,2022,4321,1,4008.25,4
1,91,0,2022,4322,1,4055.9,4
1,91,0,2022,4323,1,3964.01,4
1,91,0,2022,4324,1,3857.59,4
1,91,0,2022,4325,1,3838.19,4
1,91,0,2022,4326,1,3518.82,4
1,91,0,2022,4327,1,3738.28,4
1,91,0,2022,4328,1,3771.37,4
1,91,0,2022,4329,1,3201.66,4
1,91,0,2022,4330,1,2947.88,4
1,91,0,2022,4331,1,2921.64,4
1,91,0,2022,4332,1,2447.78,4
1,91,0,2022,4333,1,1933,4
1,91,0,2022,4334,1,1415.22,4
1,91,0,2022,4335,1,1115.48,4
1,91,0,2022,4336,1,926.33,4
1,91,0,2022,4337,1,886.45,4
1,91,0,2022,4338,1,924.18,4
1,91,0,2022,4339,1,1442.08,4
1,91,0,2022,4340,1,1749.06,4
1,91,0,2022,4341,1,2029.36,4
1,91,0,2022,4342,1,2378.34,4
1,91,0,2022,4343,1,2634.64,4
1,91,0,2022,4344,1,2803.41,4
1,91,0,2022,4345,1,3011.54,4
1,91,0,2022,4346,1,3326.12,4
1,91,0,2022,4347,1,3406.59,4
1,91,0,2022,4348,1,3328.12,4
1,91,0,2022,4349,1,3246.2,4
1,91,0,2022,4350,1,3021.44,4
1,91,0,2022,4351,1,3008.1,4
1,91,0,2022,4352,1,2860.16,4
1,91,0,2022,4353,1,2362.23,4
1,91,0,2022,4354,1,1714.08,4
1,91,0,2022,4355,1,1327.56,4
1,91,0,2022,4356,1,898.42,4
1,91,0,2022,4357,1,513.33,4
1,91,0,2022,4358,1,274.25,4
1,91,0,2022,4359,1,196.16,4
1,91,0,2022,4360,1,207.94,4
1,91,0,2022,4361,1,336.03,4
1,91,0,2022,4362,1,521.98,4
1,91,0,2022,4363,1,1012.71,4
1,91,0,2022,4364,1,1568.48,4
1,91,0,2022,4365,1,2000.22,4
1,91,0,2022,4366,1,2318.19,4
1,91,0,2022,4367,1,2521.69,4
1,91,0,2022,4368,1,2672.33,4
1,91,0,2022,4369,1,2798.45,4
1,91,0,2022,4370,1,2922.56,4
1,91,0,2022,4371,1,2948.35,4
1,91,0,2022,4372,1,2942.35,4
1,91,0,2022,4373,1,2960.72,4
1,91,0,2022,4374,1,2919.57,4
1,91,0,2022,4375,1,3061.66,4
1,91,0,2022,4376,1,2979.66,4
1,91,0,2022,4377,1,2271.99,4
1,91,0,2022,4378,1,1239.96,4
1,91,0,2022,4379,1,942.25,4
1,91,0,2022,4380,1,667.68,4
1,91,0,2022,4381,1,405.76,4
1,91,0,2022,4382,1,209.17,4
1,91,0,2022,4383,1,162.81,4
1,91,0,2022,4384,1,214.9,4
1,91,0,2022,4385,1,388.44,4
1,91,0,2022,4386,1,678.3,4
1,91,0,2022,4387,1,1233.3,4
1,91,0,2022,4388,1,1835.87,4
1,91,0,2022,4389,1,2370.36,4
1,91,0,2022,4390,1,2809.86,4
1,91,0,2022,4391,1,3118.37,4
1,91,0,2022,4392,1,3331.53,4
1,91,0,2022,4393,1,3419.37,4
1,91,0,2022,4394,1,3577.07,4
1,91,0,2022,4395,1,3609.4,4
1,91,0,2022,4396,1,3722.26,4
1,91,0,2022,4397,1,3793.04,4
1,91,0,2022,4398,1,3598.79,4
1,91,0,2022,4399,1,3573.03,4
1,91,0,2022,4400,1,3553.23,4
1,91,0,2022,4401,1,3027.07,4
1,91,0,2022,4402,1,1773.82,4
1,91,0,2022,4403,1,1590.31,4
1,91,0,2022,4404,1,1399.16,4
1,91,0,2022,4405,1,1264.43,4
1,91,0,2022,4406,1,1036.95,4
1,91,0,2022,4407,1,954.24,4
1,91,0,2022,4408,1,895.18,4
1,91,0,2022,4409,1,1047.89,4
1,91,0,2022,4410,1,1562.72,4
1,91,0,2022,4411,1,2394.63,4
1,91,0,2022,4412,1,3291.15,4
1,91,0,2022,4413,1,3899.73,4
1,91,0,2022,4414,1,4337.99,4
1,91,0,2022,4415,1,4782.53,4
