length_m,objectid,class,name,revised,ga_guid,capacitykv
5965.241131,1357,Overhead,Merredin Terminal to Merredin 66,2012/07/10 00:00:00+00,{A37D1240-E658-4281-B1AD-178B5C4AD94F},132
154633.9087,1358,Overhead,Kondinin to Bounty Gold Mine,2012/07/10 00:00:00+00,{71A68660-BB42-4FD5-8CA5-6A56CF9816E9},132
83898.84457,1359,Overhead,Moora to Wongan Hills,2012/07/10 00:00:00+00,{006DC23B-3FE5-42AC-B0D6-7F5AA1060071},33
3753.926782,1360,Overhead,Katanning to Kojonup Tee,2012/07/10 00:00:00+00,{C68056BC-D4E2-4F70-A584-BECD79217C00},66
35834.23738,1361,Overhead,Katanning to Kojonup Tee (East),2012/07/10 00:00:00+00,{C881A879-0CEB-48A4-B159-07D90FF1B500},66
44815.37273,1362,Overhead,Merredin to Carrabin,2012/07/10 00:00:00+00,{03A6FC15-CA07-4381-8AD2-F4DCA30020E2},66
229.1388496,1363,Overhead,Yerbillon to Yerbillon Tee,2012/07/10 00:00:00+00,{8B90DDB6-92D1-4436-97A3-E319BC93E2E9},66
5319.05366,1364,Overhead,Yerbillon Tee to Carrabin,2012/07/10 00:00:00+00,{EF23C4C0-A5AF-4826-BD20-1E5B58E1496E},66
114.397503,1365,Overhead,Baandee to Baandee Tee,2012/07/10 00:00:00+00,{98833B30-9DD5-415D-B372-2B88EC1BE3EB},66
23796.88805,1366,Overhead,Baandee Tee to Kellerberrin,2012/07/10 00:00:00+00,{27A5E565-2246-4D6B-8BB7-56AC05043BC9},66
68.34765078,1367,Overhead,Tate Street to Tate Street Tee,2012/07/10 00:00:00+00,{33FD13AF-4DBC-465C-AA5E-F4B82342C96E},66
2292.766329,1368,Overhead,Victoria Park to Tomlinson,2012/07/10 00:00:00+00,{881A8832-41F7-4043-A6C3-2DFD13CE4D6E},66
8730.487078,1369,Overhead,Myaree to Australian Paper Mills,2012/07/10 00:00:00+00,{1389D77F-354D-4B06-861B-0636C1434B22},66
5824.57231,1370,Overhead,South Fremantle to Australian Paper Mills,2012/07/10 00:00:00+00,{B5E7CFCB-7F61-4397-A62C-A1D5524F6499},66
6616.039105,1371,Overhead,South Fremantle to OConnor,2012/07/10 00:00:00+00,{63DEB80B-5444-441E-98AB-AE93BCE8FBFD},66
5140.676261,1372,Underground,South Fremantle to Edmund Street (Underground),2012/07/10 00:00:00+00,{8146C1AC-E5A6-47B7-B8FB-A7916B2B8C0F},66
4258.974863,1373,Overhead,Myaree to OConnor,2012/07/10 00:00:00+00,{14F4102F-17A3-4140-9ADD-97D734272ECF},66
4259.154989,1374,Overhead,South Fremantle to Edmund Street,2012/07/10 00:00:00+00,{8698AD43-9D96-45C2-9703-9CDC6D014EDE},66
2953.894463,1375,Underground,North Fremantle to Edmund Street Underground,2012/07/10 00:00:00+00,{FD507591-9A57-4E64-AB53-6E2438D7CE01},66
7554.666252,1376,Overhead,Western Terminal to Cottesloe,2012/07/10 00:00:00+00,{BE30C121-F63B-4A1D-86AF-1A67393B9C21},66
2711.656816,1377,Overhead,Shenton Park to Medical Centre,2012/07/10 00:00:00+00,{4BBA9959-F5AB-4589-9265-D1C4562B9B23},66
11985.62976,1378,Overhead,Shenton Park to Herdsman Parade,2012/07/10 00:00:00+00,{1F505179-EAC1-4A11-9B3E-8FC5208B613C},66
5373.332731,1379,Overhead,Western Terminal to Wembley Downs,2012/07/10 00:00:00+00,{81FECE1C-1196-47E0-BECE-B37D7B8CF37A},66
1078.806017,1380,Underground,East Perth Terminal to Forrest Avenue Underground,2012/07/10 00:00:00+00,{796CCF0D-A036-4B18-B26E-A9134B5430AB},66
2523.146019,1381,Underground,East Perth Terminal to Wellington Street,2012/07/10 00:00:00+00,{447E745D-A8B8-4875-8272-31498091062C},66
1037.355461,1382,Underground,East Perth Terminal to Forrest Avenue Undergreound (East),2012/07/10 00:00:00+00,{4105CD6A-6DC1-455C-987D-3392DC82EF5C},66
3051.185888,1383,Underground,East Perth Terminal,2012/07/10 00:00:00+00,{C3798054-EBC3-4C0B-AA0D-8846A86B93A5},66
